TT	PID	AT	CT	IO_D		WT	RT	TRT	
1306	223	228	27	7		1051	49	1078
1309	215	216	16	0		1077	53	1093
1376	202	206	26	1		1144	61	1170
1381	149	151	30	4		1200	41	1230
1390	68	70	41	8		1279	46	1320
1398	176	183	33	3		1182	45	1215
1414	66	69	25	14		1320	24	1345
1445	142	145	29	9		1271	107	1300
1453	105	111	44	0		1298	53	1342
1459	145	148	31	5		1280	40	1311
1466	266	264	40	0		1162	159	1202
1471	99	104	35	9		1332	24	1367
1477	242	242	40	0		1195	167	1235
1483	169	175	25	8		1283	170	1308
1489	126	134	39	0		1316	33	1355
1495	166	173	31	10		1291	41	1322
1497	181	185	35	0		1277	154	1312
1499	95	101	32	14		1366	32	1398
1505	119	125	25	12		1355	111	1380
1506	253	250	44	0		1212	178	1256
1514	203	207	34	5		1273	71	1307
1527	188	189	35	1		1303	112	1338
1531	84	92	32	10		1407	27	1439
1532	187	189	34	0		1309	52	1343
1536	195	197	40	5		1299	58	1339
1537	50	49	47	8		1441	26	1488
1541	128	135	46	0		1360	35	1406
1542	190	190	42	5		1310	160	1352
1551	209	212	36	8		1303	153	1339
1556	262	261	43	0		1252	72	1295
1559	168	174	36	4		1349	47	1385
1563	155	163	29	5		1371	277	1400
1566	159	169	21	6		1376	132	1397
1568	295	294	46	0		1228	68	1274
1571	162	170	37	10		1364	63	1401
1573	40	40	34	6		1499	9	1533
1578	160	169	40	6		1369	118	1409
1583	200	202	32	6		1349	70	1381
1586	268	265	31	10		1290	293	1321
1586	103	111	39	2		1436	107	1475
1591	228	231	40	7		1320	52	1360
1596	286	286	42	10		1268	80	1310
1606	139	143	42	9		1421	39	1463
1611	153	162	44	1		1405	158	1449
1615	281	280	41	6		1294	87	1335
1616	75	82	38	5		1496	21	1534
1620	280	280	41	3		1299	94	1340
1621	61	66	38	7		1517	12	1555
1626	221	225	42	12		1359	58	1401
1631	204	207	45	7		1379	50	1424
1636	250	249	40	3		1347	154	1387
1639	233	237	37	6		1365	164	1402
1641	254	251	42	3		1348	173	1390
1646	217	219	44	1		1383	44	1427
1649	270	271	46	3		1332	185	1378
1651	244	243	49	3		1359	64	1408
1654	251	249	48	8		1357	156	1405
1655	234	237	46	10		1372	152	1418
1660	141	145	43	3		1472	70	1515
1661	114	118	48	8		1495	113	1543
1665	236	238	46	9		1381	166	1427
1666	256	252	48	7		1366	61	1414
1670	179	185	48	7		1437	212	1485
1671	241	242	43	13		1386	153	1429
